PRT_ID,AREA,INT_SQFT,DIST_MAINROAD,N_ROOM,PARK_FACIL,Estimate
P07090,Chrompet,1257,22,4,Yes,4589890
P08475,Adyar,1118,57,3,Yes,4212180
P02125,Velachery,1575,51,4,Yes,5622790
P07915,Anna Nagar,1617,47,4,Yes,6064190
P06139,Adyar,1193,4,3,No,2679310
P03073,Karapakkam,1371,142,4,No,2367390
P08441,Chrompet,1070,141,3,Yes,2566300
P01565,Velachery,1550,70,4,Yes,3227780
P00791,Chrompet,1030,105,3,No,2520000
P06751,Adyar,676,36,2,Yes,4795380
P04554,Karapakkam,1651,102,4,Yes,5294740
P03839,Karapakkam,1313,158,3,Yes,3176420
P01409,Chrompet,743,175,2,Yes,3551780
P07431,KK Nagar,1394,123,4,No,4422920
P03489,KK Nagar,2351,42,6,No,5706460
P06387,Velachery,1522,2,4,Yes,2665330
P06779,Chrompet,1121,159,3,Yes,2547170
P01889,Adyar,1063,50,3,No,3243780
P06149,Adyar,1132,71,3,Yes,4109080
P08873,T Nagar,1622,116,4,Yes,3386740
P03425,KK Nagar,1470,93,4,Yes,6026150
P09806,Velachery,1705,199,4,No,3625040
P04345,KK Nagar,1912,114,5,No,4917040
P04042,KK Nagar,1341,6,4,Yes,4195250
P09781,Velachery,1884,117,5,No,2428040
P00254,Chrompet,1235,111,4,No,3756110
P09091,Anna Nagar,1865,65,5,No,5181620
P04061,KK Nagar,1472,158,4,No,4657390
P06644,Karapakkam,1266,119,3,No,2530100
P08517,Chrompet,1287,166,4,No,4116660
P07492,Adyar,1089,180,3,Yes,3413560
P04452,T Nagar,1939,125,5,Yes,4067720
P08144,Chrompet,919,59,3,No,2562110
P02854,Karapakkam,932,48,3,No,2669720
P04835,Chrompet,1240,121,4,Yes,2726680
P00455,T Nagar,1623,108,4,Yes,4321940
P07396,Adyar,830,135,3,Yes,2366390
P07777,Adyar,651,94,2,No,2293030
P05423,Chrompet,1024,195,3,Yes,3057080
P05820,T Nagar,1512,90,4,No,5553630
P01309,Chrompet,723,16,2,Yes,2602560
P04343,Karapakkam,876,155,2,No,2025280
P05167,Adyar,995,105,3,No,2694560
P03621,Chrompet,726,200,2,No,2376620
P01131,T Nagar,1755,173,4,No,6004350
P04092,Adyar,688,101,2,Yes,1720140
P07035,Adyar,1087,187,3,No,2916300
P04257,Adyar,1146,103,3,Yes,3660400
P00928,Anna Nagar,1710,92,4,Yes,5461760
P09597,Velachery,1533,109,4,Yes,3273850
P09744,Velachery,1596,132,4,Yes,5229730
P08951,Chrompet,742,39,2,No,2099980
P03143,Karapakkam,1538,192,4,No,2911720
P00062,Chrompet,724,56,2,No,2062860
P06406,Karapakkam,1216,13,3,No,3803230
P07835,Adyar,938,76,3,Yes,2677790
P00485,Chrompet,782,132,2,Yes,2326950
P09288,Chrompet,1160,49,3,No,3950100
P04002,Karapakkam,983,120,3,Yes,4132180
P04853,Chrompet,1142,99,3,No,2505450
P03361,Karapakkam,1278,15,3,Yes,4115170
P05281,Velachery,1876,29,5,Yes,3325810
P06568,KK Nagar,2140,50,5,No,4440800
P07595,Adyar,680,111,2,No,2618800
P02829,KK Nagar,2243,194,6,Yes,6662530
P03226,Karapakkam,1306,108,3,No,2941900
P03068,T Nagar,1899,167,5,Yes,3961420
P04223,Chrompet,949,66,3,No,2301510
P01682,Karapakam,544,82,2,Yes,2565760
P01342,Chrompet,893,175,3,No,2301120
P01954,KK Nagar,1766,144,4,Yes,4430100
P03346,KK Nagar,1876,33,5,Yes,5681920
P06090,Karapakkam,747,95,2,Yes,2726500
P08664,Velachery,1639,22,4,No,3560000
P02701,KK Nagar,2130,62,5,Yes,4745260
P03668,Chrompet,941,111,3,Yes,4374460
P05791,Karapakkam,1129,77,3,No,3143950
P04571,Karapakkam,1617,79,4,Yes,2369960
P04306,KK Nagar,1747,181,4,Yes,3541410
P06965,Chrompet,1139,145,3,Yes,2844550
P00968,Chrompet,914,116,3,Yes,3287590
P07351,Velachery,1615,93,4,Yes,3155140
P07627,Velachery,1971,71,5,No,4674110
P02263,Karapakkam,1402,54,4,No,1893940
P00900,Chrompet,746,4,2,No,2579180
P05532,Velachery,1945,59,5,No,3741610
P02420,KK Nagar,1851,55,5,No,4110510
P02948,KK Nagar,1776,29,4,Yes,4588700
P02449,Karapakkam,1639,24,4,No,3936350
P04555,Adyar,960,7,3,No,3330780
P08461,Adyar,1296,53,4,Yes,5781380
P03817,Adyar,1199,21,3,No,4266460
P01194,T Nagar,1765,56,4,No,5926820
P00096,Chrompet,1212,143,4,No,4167490
P06955,KK Nagar,1693,15,4,Yes,3679120
P07375,Chrompet,1117,47,3,Yes,2882830
P01198,Chrompet,1008,0,3,No,2871120
P06393,Chrompet,702,166,2,Yes,2240190
P00973,T Nagar,1702,168,4,Yes,7276910
P08413,T Nagar,1837,89,5,Yes,4180750
P08452,Adyar,1129,44,3,No,3610010
P05808,KK Nagar,2379,86,6,Yes,8241670
P01732,Karapakkam,1690,46,4,No,3005530
P03265,Karapakkam,811,164,2,No,4182520
P09269,Velachery,1778,168,4,Yes,5217200
P02005,KK Nagar,2291,106,6,No,4605150
P09884,Velachery,1558,88,4,Yes,2711850
P03077,Velachery,1671,145,4,No,4060420
P02144,KK Nagar,2236,22,6,Yes,4946270
P01972,Karapakkam,1115,78,3,Yes,2166940
P03272,KK Nagar,2264,164,6,Yes,6442440
P04748,T Nagar,1960,85,5,No,4278650
P09255,T Nagar,1883,182,5,Yes,5180150
P02072,Karapakkam,1578,100,4,Yes,5257560
P05111,KK Nagar,2352,145,6,No,8400740
P05943,KK Nagar,2143,68,5,Yes,3671110
P04135,KK Nagar,1611,39,4,Yes,7409640
P03351,Velachery,1998,1,5,Yes,3327320
P02627,Chrompet,882,86,3,No,2608230
P02406,Karapakkam,1301,89,3,Yes,3197250
P05640,Karapakkam,1348,198,4,Yes,3999550
P09231,Chrompet,880,149,3,No,3998810
P06390,Chrompet,770,135,2,Yes,2365760
P08275,KK Nagar,1589,75,4,No,3700030
P00571,Chrompet,760,138,2,No,2124360
P03094,Velachery,1989,128,5,No,5384000
P02145,KK Nagar,1666,187,4,No,5803290
P01403,Chrompet,1274,92,4,Yes,3011220
P00398,Chrompet,1006,10,3,Yes,2742300
P05079,Chrompet,924,101,3,Yes,2980980
P08844,Anna Nagar,1503,12,4,Yes,3534020
P05122,Velachery,1876,69,5,No,4670920
P02734,T Nagar,1967,123,5,No,3663480
P07188,Velachery,1648,75,4,Yes,5010390
P05561,Velachery,1566,84,4,Yes,4557900
P00652,Anna Nagar,1645,150,4,Yes,4666090
P01072,Chrompet,1148,35,3,Yes,2626160
P00385,Chrompet,1220,116,4,No,2481490
P05519,Karapakkam,1569,182,4,No,5004690
P01410,Chrompet,736,90,2,No,2370390
P05804,Karapakkam,1429,196,4,Yes,3042900
P07515,Adyar,1020,78,3,No,4146950
P00691,Chrompet,1192,160,3,No,2314010
P03592,Karapakkam,815,32,2,Yes,3345410
P09493,Velachery,1522,60,4,No,4179290
P04172,Karapakkam,878,97,2,Yes,3089000
P01605,Chrompet,1298,152,4,No,2640220
P03956,Karapakkam,1365,54,4,No,2733400
P05076,Karapakkam,1134,79,3,Yes,3956460
P05695,Anna Nagar,1815,164,5,Yes,4936640
P00993,Chrompet,979,26,3,Yes,3515380
P02468,Karapakkam,1605,73,4,No,4861000
P06320,Karapakkam,1026,62,3,No,1734500
P02001,Karapakkam,1580,193,4,Yes,5641920
P08770,Chrompet,985,16,3,No,2469690
P00229,T Nagar,1583,1,4,No,6798600
P06646,Karapakkam,1677,185,4,Yes,5294320
P04466,Karapakkam,1189,92,3,Yes,3629930
P05793,Velachery,1599,32,4,No,2835850
P01750,Velachery,1509,32,4,Yes,3409570
P09131,Adyar,1070,38,3,No,2785970
P02168,Velachery,1710,3,4,Yes,3031760
P02511,Adyar,755,160,2,Yes,2213980
P07343,Chrompet,1228,131,4,No,2778630
P01376,T Nagar,1878,118,5,No,6246380
P07422,KK Nagar,1486,118,4,Yes,5760670
P01769,Karapakkam,1546,167,4,Yes,3205260
P08586,Velachery,1812,139,5,No,3419540
P06488,Karapakkam,1648,131,4,No,2828700
P01230,Chrompet,1148,80,3,No,2482080
P02908,Chrompet,723,4,2,No,1936160
P08831,T Nagar,1805,74,5,No,5912550
P03288,Velachery,1567,2,4,No,5095050
P00680,Chrompet,796,161,2,No,1815060
P02031,Adyar,867,34,3,Yes,2475980
P04875,Karapakkam,1207,195,3,No,2788520
P07956,KK Nagar,2417,82,6,No,3847940
P08447,Adyar,981,121,3,Yes,2934320
P05865,Chrompet,1231,78,4,Yes,2810070
P09672,Velachery,1864,134,5,No,5662440
P09920,Velachery,1912,114,5,No,2788210
P04910,Karapakkam,1409,35,4,No,3172000
P00162,Chrompet,1225,156,4,No,3487190
P01825,KK Nagar,2001,145,5,No,3304490
P05292,Chrompet,738,47,2,No,2431800
P02712,Chrompet,1088,190,3,No,3169200
P07747,Chrompet,733,84,2,No,2625510
P07472,Anna Nagar,1973,131,5,No,3406540
P00068,T Nagar,1683,3,4,No,4446220
P00750,Chrompet,1289,62,4,Yes,5179140
P01938,KK Nagar,1302,200,3,Yes,5423610
P08240,Chrompet,1089,200,3,No,2551720
P05994,Karapakkam,1386,19,4,Yes,3717240
P00744,Chrompet,1238,154,4,Yes,3626400
P00792,T Nagar,1607,153,4,Yes,5006680
P04083,Karapakkam,847,52,2,No,2223240
P01744,KK Nagar,2444,135,6,Yes,4313000
P03503,T Nagar,1522,98,4,Yes,3322890
P04256,Karapakkam,965,48,3,Yes,2438310
P05332,Karapakkam,1622,172,4,Yes,3819050
P04078,KK Nagar,1668,17,4,No,4755200
P06574,KK Nagar,2290,18,6,No,6716960
P04752,Karapakkam,1561,189,4,Yes,3822620
P03316,Karapakkam,1541,29,4,Yes,4187930
P07291,KK Nagar,1628,17,4,No,4422100
P07280,KK Nagar,1358,142,4,No,5376390
P04397,Karapakkam,1469,154,4,Yes,2601930
P02025,Chrompet,928,165,3,Yes,3618020
P09003,Velachery,1782,158,4,No,5902900
P03088,KK Nagar,1588,1,4,No,2870660
P05216,KK Nagar,1895,175,5,Yes,5089640
P00823,T Nagar,1567,41,4,No,3072870
P07932,Anna Nagar,1702,79,4,No,5163850
P02680,KK Nagar,1309,95,3,Yes,5737760
P03407,Karapakkam,1533,35,4,Yes,4918200
P06860,Adyar,1289,4,4,Yes,4250600
P06832,KK Nagar,1364,140,4,Yes,2842630
P00361,T Nagar,1676,1,4,No,6759070
P06394,Chrompet,1096,141,3,Yes,2745380
P03881,Karapakkam,971,194,3,Yes,2561330
P02725,Karapakkam,863,128,2,No,3349100
P00544,Anna Nagar,1953,118,5,Yes,5668210
P08809,Velachery,1655,103,4,No,3725780
P02307,KK Nagar,1482,10,4,Yes,4427540
P08485,Velachery,1804,191,5,Yes,3622420
P09159,Anna Nagar,1802,107,5,Yes,5439100
P01398,T Nagar,1535,78,4,Yes,2628850
P02495,Karapakkam,1393,117,4,Yes,2379620
P08769,Chrompet,1048,94,3,Yes,2440330
P00458,Chrompet,960,96,3,Yes,3093420
P05850,T Nagar,1709,24,4,Yes,6678180
P06648,Chrompet,1168,145,3,No,2525180
P05003,Karapakkam,1380,95,4,Yes,3216890
P03602,KK Nagar,1710,160,4,Yes,7232120
P03201,Karapakkam,1447,34,4,Yes,3671090
P00489,Anna Nagar,1537,21,4,No,4117520
P06958,Chrompet,724,91,2,Yes,2125650
P04750,KK Nagar,1495,192,4,Yes,3430060
P06660,KK Nagar,1362,114,4,Yes,4153040
P04403,Chrompet,1150,136,3,No,3493730
P04175,Adyar,1212,200,4,No,3701810
P07433,KK Nagar,1886,96,5,No,4203070
P03525,Chrompet,994,188,3,Yes,2684150
P09373,Chrompet,862,151,3,No,1831300
P05845,Karapakkam,1217,198,3,Yes,2865930
P05717,Karapakkam,1676,36,4,No,4343880
P00953,Chrompet,1283,62,4,Yes,3189920
P01301,T Nagar,1841,56,5,No,3194840
P07032,Adyar,759,118,2,Yes,2288450
P09312,Velachery,1532,156,4,Yes,2446660
P02357,Velachery,1714,31,4,Yes,4281600
P00029,Anna Nagar,1505,175,4,No,3518720
P06760,KK Nagar,1886,192,5,No,4857780
P03206,Velachery,1537,84,4,No,3667430
P08261,Velachery,1686,100,4,Yes,4222490
P07838,KK Nagar,1533,108,4,Yes,6551780
P03558,Anna Nagar,1565,64,4,Yes,3895800
P03700,Karapakkam,1098,175,3,Yes,3208730
P06412,KK Nagar,1434,4,4,Yes,5405390
P04043,KK Nagar,2176,58,5,No,3869560
P03850,KK Nagar,1596,186,4,No,3207380
P05426,Karapakkam,987,77,3,No,2686270
P00178,Chrompet,1036,115,3,No,2269710
P03363,Chrompet,863,152,3,Yes,3103080
P01018,Anna Nagar,1960,26,5,No,4944190
P00572,Chrompet,771,87,2,Yes,2903230
P02373,Chrompet,1015,32,3,Yes,3290250
P04813,Karapakkam,1509,22,4,No,3025670
P05372,Karapakkam,1059,80,3,Yes,2289020
P04285,Karapakkam,1398,175,4,Yes,4289140
P00459,Anna Nagar,1633,119,4,Yes,4748560
P02208,Chrompet,829,170,3,No,1627610
P08567,Velachery,1857,65,5,No,2701620
P07415,Anna Nagar,1988,82,5,Yes,7843690
P02413,KK Nagar,1552,135,4,No,4226000
P02586,Karapakkam,1404,134,4,No,3918500
P05842,Chrompet,1007,85,3,Yes,2941000
P05225,Velachery,1617,180,4,No,5085950
P03024,Karapakkam,1382,172,4,No,3723830
P04596,Karapakkam,566,28,2,No,1188680
P01389,Anna Nagar,1939,13,5,Yes,4013070
P03708,Velachery,1528,65,4,No,2491590
P08783,Adyar,1288,137,4,No,3093760
P06624,Chrompet,1247,184,4,No,4156000
P02243,KK Nagar,2217,41,5,No,7760160
P00020,Chrompet,753,57,2,No,1793470
P05876,Karapakkam,1180,54,3,No,2674980
P07232,Adyar,1079,81,3,Yes,2611130
P02855,Velachery,1618,115,4,Yes,3953100
P09303,Adyar,878,126,3,Yes,3481770
P02015,Karapakkam,1640,150,4,Yes,3220470
P05454,KK Nagar,1537,110,4,No,6291790
P07348,T Nagar,1510,90,4,Yes,4587630
P03637,Anna Nagar,1543,71,4,Yes,3962830
P00263,Chrmpet,1261,179,4,No,2030440
P02270,Anna Nagar,1607,16,4,No,4531940
P06691,Adyar,1178,80,3,No,2581170
P04068,Karapakkam,660,45,2,No,2708260
P04812,Chrompet,974,67,3,No,2485820
P05806,KK Nagar,1851,111,5,No,7749450
P08297,Chrompet,722,26,2,Yes,2869800
P09086,Anna Nagar,1719,54,4,No,8149460
P00775,Chrompet,989,97,3,Yes,3352940
P06970,Velachery,1988,19,5,No,5590390
P07630,Adyar,712,170,2,No,2988570
P06558,Karapakkam,696,73,2,No,1524940
P01847,Karapakkam,1242,191,3,Yes,4675710
P04412,Karapakkam,911,47,3,No,2031660
P05028,Velachery,1703,78,4,No,2983540
P04089,Karapakkam,884,115,2,No,1596180
P03672,Chrompet,1063,28,3,Yes,2786510
P05147,Adyar,795,46,2,Yes,3011450
P08288,Chrompet,1148,106,3,Yes,3310700
P01330,Chrompet,916,187,3,Yes,3563330
P04020,Chrompet,1041,28,3,Yes,2699670
P07516,Adyar,925,22,3,No,3127910
P03129,KK Nagar,2170,98,5,Yes,5096990
P07204,Chrompet,989,182,3,Yes,4457940
P02045,Chrompet,1170,129,3,No,2549530
P08996,T Nagar,1967,198,5,Yes,4959580
P00574,Chrompet,1166,9,3,No,2469610
P02149,KK Nagar,2199,167,5,No,3996190
P09851,Velachery,1894,13,5,Yes,5343600
P00509,Anna Nagar,1910,158,5,Yes,9001070
P00136,T Nagar,1746,119,4,No,4985980
P02618,Anna Nagar,1899,151,5,Yes,4104200
P07265,Adyar,1111,50,3,No,3065170
P00855,T Nagar,1897,38,5,Yes,6002840
P03046,Karapakkam,1263,136,3,Yes,3544980
P10026,Velachery,1672,7,4,Yes,3232940
P00177,Chrompet,823,28,3,Yes,2764130
P09301,Adyar,636,102,2,Yes,2778240
P03284,Karapakkam,1461,157,4,No,2651700
P06088,Chrompet,1085,184,3,No,2180430
P01106,Chrompet,767,5,2,No,2256070
P05623,Velachery,1740,4,4,Yes,4139020
P01357,Anna Nagar,1548,119,4,Yes,6319930
P00215,Anna Nagar,1526,89,4,No,5490720
P05023,Anna Nagar,1627,105,4,No,5523240
P02983,Karapakkam,1585,36,4,No,2343600
P05782,Adyar,1011,200,3,Yes,2875170
P05733,Velachery,1729,182,4,Yes,5694310
P02670,Karapakkam,1507,132,4,Yes,3203810
P08342,Chrompet,941,17,3,Yes,2697410
P09732,Velachery,1646,111,4,Yes,4090250
P05262,KK Nagar,2182,90,5,No,4607340
P05661,Karapakkam,1362,139,4,Yes,3929090
P07639,Anna Nagar,1509,194,4,No,3109550
P08096,Chrompet,1045,79,3,No,3933040
P09511,Anna Nagar,1646,61,4,Yes,4577520
P00822,Chrompet,1191,10,3,Yes,3475310
P06290,Velachery,1702,18,4,Yes,3447020
P06505,Anna Nagar,1920,93,5,No,4160650
P07653,KK Nagar,1732,31,4,Yes,3887960
P06447,T Nagar,1839,58,5,No,5775570
P04980,Karapakkam,1661,38,4,Yes,3496820
P05638,Anna Nagar,1678,49,4,Yes,3492700
P07544,KK Nagar,1308,178,3,No,3745960
P01335,Chrompet,837,17,3,Yes,2877630
P05311,Chrompet,826,160,3,Yes,2427220
P03627,Karapakkam,1691,151,4,Yes,4017030
P03784,Karapakkam,720,49,2,Yes,2676870
P01464,Anna Nagar,1607,0,4,No,5025460
P01171,Chrompet,1277,52,4,Yes,2845560
P07123,KK Nagar,1464,116,4,Yes,3353900
P09662,Velachery,1968,32,5,Yes,5133400
P03540,Velachery,1576,19,4,No,2905960
P05302,Karapakkam,877,56,2,Yes,3025800
P08705,Adyar,1118,164,3,Yes,2711220
P06665,Chrompet,844,11,3,No,1656630
P04037,Karapakkam,1045,66,3,Yes,3819690
P00325,Chrompet,998,167,3,No,2667920
P08837,Chrompet,1136,65,3,No,3843490
P05445,Karapakkam,1642,112,4,No,5462100
P00292,Chrompet,897,196,3,Yes,2643770
P05044,Karapakkam,1383,1,4,Yes,5013430
P03002,Adyar,732,41,2,Yes,1952600
P05551,KK Nagar,1512,57,4,Yes,4336180
P01037,T Nagar,1709,86,4,Yes,6733200
P02316,Karapakkam,1442,22,4,No,3633130
P07532,KK Nagar,2185,20,5,No,7169520
P02051,Karapakkam,1660,107,4,Yes,3836720
P00817,Chrompet,964,60,3,No,3269670
P05975,Karapakkam,718,38,2,Yes,3177810
P09942,Velachery,1507,94,4,Yes,2486560
P00488,Chrompet,837,0,3,Yes,3229860
P03977,Velachery,1542,141,4,Yes,3097470
P07179,Chrompet,1125,109,3,No,3820200
P04074,Adyar,1036,142,3,Yes,3088910
P04318,Anna Nagar,1886,18,5,No,5463090
P07771,Chrompet,907,108,3,No,3316910
P06431,T Nagar,1790,153,4,No,3370650
P00647,Chrompet,991,4,3,Yes,4456580
P03725,KK Nagar,2076,115,5,Yes,4830430
P00359,T Nagar,1964,181,5,Yes,5169240
P03884,Karapakkam,836,54,2,Yes,2830750
P04772,Karapakkam,812,131,2,Yes,2179770
P04202,Adyar,876,39,3,Yes,2838030
P07384,Velachery,1647,84,4,Yes,4235670
P09375,Velachery,1837,195,5,No,2971120
P02603,Adyar,906,83,3,Yes,3025950
P05744,Velachery,1516,176,4,Yes,3960380
P00454,Chrompet,749,97,2,Yes,2698320
P03580,Chrompet,706,70,2,Yes,3145680
P01351,Chrompet,1226,115,4,No,3236500
P05632,Adyar,809,40,3,No,3250190
P02658,KK Nagar,2351,111,6,No,5611750
P03487,Anna Nagar,1683,78,4,No,3885540
P05745,Adyar,735,171,2,Yes,2690530
P08616,T Nagar,1887,92,5,Yes,7878870
P00575,Chrompet,1113,36,3,Yes,2675010
P00782,Anna Nagar,1744,91,4,No,4508490
P09266,Adyar,657,59,2,No,1917020
P05541,Velachery,1609,52,4,Yes,3114040
P07213,Chrompet,915,194,3,No,3725840
P03123,Adyar,1211,130,4,No,2652740
P01741,Adyar,1131,153,3,No,2675540
P04336,KK Nagar,1488,156,4,No,4614650
P02060,KK Nagar,2377,85,6,No,7440590
P04800,Adyar,1271,67,4,Yes,3836510
P01707,Adyar,888,126,3,Yes,2787220
P06617,Chrompet,701,77,2,Yes,2196040
P08260,KK Nagar,1551,107,4,Yes,3464500
P07352,Chrompet,1129,25,3,Yes,3403920
P01510,Karapakkam,1023,17,3,Yes,1527330
P06564,Karapakkam,1448,40,4,Yes,6026920
P08889,Chrompet,976,62,3,Yes,2523320
P07268,Velachery,1835,66,5,No,4181990
P08641,Adyar,1016,63,3,No,4352610
P03743,Velachery,1804,14,5,No,2820900
P08861,Chrompet,1202,16,4,No,2990160
P07687,Chrompet,828,121,3,Yes,2922980
P06080,Karapakkam,1221,178,3,No,1868720
P01691,Karapakkam,1150,10,3,Yes,3725470
P03308,Karapakkam,1029,22,3,No,3042880
P00113,T Nagar,1531,41,4,No,3602940
P04949,Chrompet,725,43,2,No,2718560
P04243,Karapakkam,1084,135,3,Yes,4306160
P04199,KK Nagar,2280,192,6,Yes,3795650
P02919,Velachery,1782,167,4,Yes,4510940
P06267,Chrompet,1041,32,3,No,2000610
P07383,KK Nagar,1808,167,5,No,4503470
P05429,KK Nagar,1590,186,4,No,6235390
P07746,Chrompet,729,142,2,No,2616610
P08241,Anna Nagar,1978,161,5,Yes,4023620
P00774,Chrompet,1257,53,4,No,2983840
P02143,Adyar,1104,41,3,Yes,5161610
P00054,Anna Nagar,1933,29,5,No,4792090
P05676,Chrompet,1294,62,4,No,3146350
P05875,Karapakkam,796,68,2,No,1663920
P05395,Adyar,1030,16,3,Yes,4137810
P07026,Chrompet,1023,71,3,Yes,2448080
P09598,Velachery,1802,45,5,No,2937040
P09339,T Nagar,1799,125,4,Yes,5556970
P03381,Karapakkam,1143,16,3,No,2782350
P08655,Chrompet,1300,183,4,Yes,3555960
P02719,Karapakkam,841,66,2,No,2525990
P06426,Chrompet,988,190,3,Yes,3145730
P06890,KK Nagar,2059,24,5,Yes,4370360
P02086,Karapakkam,1397,99,4,No,2582220
P00830,Chrompet,933,17,3,No,1798840
P06941,KK Nagar,2124,154,5,No,8116720
P02557,Karapakkam,1665,41,4,No,4491530
P07158,Velachery,1588,134,4,No,5203980
P08899,Chrompet,1110,119,3,Yes,2647850
P10027,Velachery,1853,138,5,Yes,3281700
P03382,Karapakkam,596,45,2,No,1244530
P02619,Karapakkam,1412,81,4,No,4945810
P01966,Chrompet,1244,193,4,Yes,4548520
P01898,KK Nagar,1851,178,5,No,7176870
P08328,T Nagar,1845,58,5,No,4854060
P08153,Adyar,815,19,3,No,3403720
P03374,Karapakkam,973,195,3,Yes,2272570
P02884,Karapakkam,1430,162,4,Yes,4921630
P04956,Karapakkam,1674,180,4,No,3088680
P03101,Chrompet,1036,34,3,No,2290280
P02129,Karapakkam,1626,45,4,No,3633000
P08409,Anna Nagar,1807,98,5,No,3521370
P04789,Velachery,1814,182,5,Yes,3650980
P06595,Anna Nagar,1834,89,5,No,5120390
P08818,Anna Nagar,1774,186,4,Yes,6688940
P00049,Anna Nagar,1519,147,4,Yes,6554120
P08666,Chrompet,1222,173,4,No,3857240
P05554,Velachery,1504,99,4,No,4194150
P07193,KK Nagar,2414,129,6,Yes,6580510
P09408,Adyar,897,77,3,Yes,3782180
P04719,Velachery,1996,155,5,Yes,3843150
P04932,Velachery,1665,24,4,No,2348150
P08708,Anna Nagar,1768,1,4,Yes,7376170
P02340,KK Nagar,1602,32,4,No,6050900
P03249,KK Nagar,2461,102,6,No,4949720
P06831,KK Nagar,1830,134,5,No,4216720
P08001,Chrompet,823,14,3,No,2384610
P03973,Karapakkam,677,19,2,Yes,1519180
P00444,Chrompet,875,159,3,Yes,3474240
P04158,Velachery,1581,99,4,No,3246000
P05855,KK Nagar,2330,16,6,Yes,4637030
P07262,KK Nagar,2284,86,6,No,4507050
P05559,Karapakkam,632,134,2,Yes,2183420
P05021,Adyar,966,130,3,Yes,3423660
P04934,KK Nagar,2277,0,6,No,7404730
P04829,Karapakkam,675,113,2,No,2596590
P00660,Chrompet,755,20,2,Yes,2897180
P03892,KK Nagar,1395,163,4,Yes,4377640
P01406,Chrompet,722,0,2,No,2526310
P01094,Chrompet,982,91,3,Yes,2566090
P05683,Velachery,1814,160,5,No,3543250
P07631,Chrompet,1123,199,3,No,2858550
P00484,Anna Nagar,1639,74,4,No,4721320
P05440,Karapakkam,910,139,3,No,2858240
P04666,Anna Nagar,1814,176,5,Yes,4717850
P08189,Adyar,732,108,2,No,3420980
P09308,Velachery,1661,68,4,No,2199790
P05750,KK Nagar,1601,180,4,No,4634680
P00197,Chrompet,791,70,2,Yes,3742560
P01039,Chrompet,1159,171,3,No,3177350
P09092,Velachery,1616,136,4,No,2572700
P06411,Chrompet,767,25,2,No,2396800
P04634,Karapakkam,650,149,2,Yes,2880270
P09504,Anna Nagar,1580,112,4,No,5688070
P01248,Chrompet,757,176,2,No,2441040
P00972,T Nagar,1897,42,5,No,4887330
P00715,Chrompet,1023,157,3,No,3093060
P02242,T Nagar,1632,67,4,No,3615130
P07921,Chrompet,913,148,3,Yes,2407400
P00696,Chrompet,1251,66,4,No,3809320
P08880,Chrompet,907,34,3,Yes,2617120
P07657,Adyar,1078,29,3,No,2260140
P06355,Karapakkam,908,152,3,No,2300850
P06033,Karapakkam,1635,18,4,No,2488540
P00383,Chrompet,705,42,2,No,1887820
P09085,T Nagar,1681,109,4,No,6718640
